Project ID,Category,Percentage Contribution
P113,ClientMeeting,18.86
P113,Campaign,7.22
P113,CustomerSupport,11.23
P113,Documentation,30.29
P113,Development,7.42
P113,Research,10.33
P113,Testing,14.64
P112,ClientMeeting,6.78
P112,Campaign,11.51
P112,CustomerSupport,17.51
P112,Documentation,25.08
P112,Development,15.62
P112,Research,13.09
P112,Testing,10.41
P211,Training,10.83
P211,Campaign,15.34
P211,CustomerSupport,4.96
P211,Documentation,32.48
P211,Development,13.38
P211,Research,23.01
P119,Training,6.20
P119,Design,14.74
P119,ClientMeeting,13.52
P119,Campaign,12.09
P119,CustomerSupport,8.03
P119,Documentation,16.06
P119,Development,8.84
P119,Research,13.41
P119,Testing,7.11
P218,Design,17.03
P218,ClientMeeting,6.26
P218,Campaign,4.63
P218,CustomerSupport,23.06
P218,Documentation,8.92
P218,Development,25.49
P218,Research,14.60
P118,Training,7.37
P118,ClientMeeting,14.01
P118,Campaign,26.45
P118,CustomerSupport,6.82
P118,Documentation,19.91
P118,Development,5.07
P118,Research,14.38
P118,Testing,5.99
P217,Training,25.56
P217,Design,12.58
P217,ClientMeeting,12.37
P217,Development,9.33
P217,Testing,40.16
P219,Training,6.58
P219,Design,14.63
P219,ClientMeeting,20.40
P219,Campaign,17.99
P219,CustomerSupport,15.57
P219,Development,5.64
P219,Research,9.93
P219,Testing,9.26
