Employee ID,Window Index,7-Day Average
EMP0015,7,4.13
EMP0015,8,4.13
EMP0015,9,4.11
EMP0015,10,4.44
EMP0015,11,4.67
EMP0015,12,5.63
EMP0018,1,4.00
EMP0018,2,4.25
EMP0018,3,4.15
EMP0018,4,3.92
EMP0018,5,4.43
EMP0018,6,4.44
EMP0018,7,4.97
EMP0018,8,5.10
EMP0007,1,6.78
EMP0007,2,7.03
EMP0007,3,7.06
EMP0007,4,6.72
EMP0007,5,5.71
EMP0007,6,6.01
EMP0007,7,5.86
EMP0007,8,6.07
EMP0007,9,6.73
EMP0017,1,4.27
EMP0017,2,4.23
EMP0017,3,4.11
EMP0017,4,3.96
EMP0017,5,3.00
EMP0017,6,3.64
EMP0017,7,3.74
EMP0017,8,4.45
EMP0017,9,4.11
EMP0017,10,4.49
EMP0017,11,4.65
EMP0017,12,5.24
EMP0017,13,5.62
EMP0017,14,5.83
EMP0006,1,4.03
EMP0006,2,3.96
EMP0006,3,3.60
EMP0006,4,4.60
EMP0006,5,4.28
EMP0006,6,4.13
EMP0006,7,3.92
