Project ID,Task Category,Contribution %
PRJ170,Training,43.97
PRJ170,Documentation,56.03
PRJ173,Documentation,77.25
PRJ173,Code Review,22.75
PRJ172,Code Review,100.00
PRJ175,Training,11.00
PRJ175,Development,19.02
PRJ175,Deployment,28.05
PRJ175,Code Review,41.93
PRJ174,Testing,100.00
PRJ122,Client Meeting,30.78
PRJ122,Deployment,49.17
PRJ122,Testing,20.05
PRJ121,Training,8.64
PRJ121,Bug Fix,26.87
PRJ121,Deployment,12.06
PRJ121,Client Meeting,17.10
PRJ121,Monitoring,35.33
PRJ124,Training,43.17
PRJ124,Deployment,43.22
PRJ124,Design Review,13.61
PRJ123,Development,55.31
PRJ123,Client Meeting,24.34
PRJ123,Monitoring,20.35
PRJ126,Bug Fix,54.96
PRJ126,Development,32.87
PRJ126,Deployment,12.17
PRJ125,Development,28.25
PRJ125,Deployment,31.64
PRJ125,Code Review,35.31
PRJ125,Testing,4.80
PRJ128,Deployment,86.71
PRJ128,Design Review,13.29
PRJ127,Training,100.00
PRJ120,Development,44.41
PRJ120,Deployment,55.59
PRJ129,Training,23.23
PRJ129,Bug Fix,18.29
PRJ129,Code Review,58.48
PRJ199,Deployment,29.15
PRJ199,Code Review,60.38
PRJ199,Design Review,10.47
PRJ111,Client Meeting,35.90
PRJ111,Monitoring,12.78
PRJ111,Design Review,38.07
PRJ111,Testing,13.26
PRJ198,Code Review,100.00
PRJ110,Bug Fix,14.05
PRJ110,Development,53.33
PRJ110,Design Review,32.62
PRJ113,Documentation,16.43
PRJ113,Code Review,22.00
PRJ113,Testing,61.56
PRJ112,Bug Fix,43.30
PRJ112,Documentation,9.00
PRJ112,Client Meeting,17.27
PRJ112,Deployment,16.38
PRJ112,Testing,14.05
PRJ115,Documentation,9.77
PRJ115,Client Meeting,35.66
PRJ115,Deployment,19.19
PRJ115,Code Review,22.53
PRJ115,Testing,12.85
PRJ114,Training,33.75
PRJ114,Documentation,3.20
PRJ114,Development,19.84
PRJ114,Code Review,33.44
PRJ114,Monitoring,9.76
PRJ117,Documentation,3.10
PRJ117,Client Meeting,28.14
PRJ117,Monitoring,33.84
PRJ117,Testing,34.92
PRJ116,Code Review,49.27
PRJ116,Monitoring,50.73
PRJ191,Deployment,23.87
PRJ191,Client Meeting,5.16
PRJ191,Code Review,19.47
PRJ191,Testing,51.50
PRJ190,Training,9.65
PRJ190,Bug Fix,13.62
PRJ190,Development,17.63
PRJ190,Deployment,18.90
PRJ190,Monitoring,12.91
PRJ190,Design Review,9.92
PRJ190,Testing,17.38
PRJ193,Bug Fix,3.83
PRJ193,Documentation,27.19
PRJ193,Development,29.32
PRJ193,Client Meeting,39.66
PRJ192,Documentation,36.47
PRJ192,Deployment,50.10
PRJ192,Testing,13.42
PRJ195,Training,10.04
PRJ195,Documentation,15.96
PRJ195,Development,11.41
PRJ195,Deployment,9.18
PRJ195,Code Review,19.42
PRJ195,Monitoring,33.98
PRJ194,Development,100.00
PRJ197,Documentation,23.42
PRJ197,Development,10.82
PRJ197,Deployment,47.71
PRJ197,Design Review,18.05
PRJ196,Bug Fix,22.54
PRJ196,Documentation,18.10
PRJ196,Development,2.65
PRJ196,Deployment,18.65
PRJ196,Code Review,18.05
PRJ196,Monitoring,20.01
PRJ119,Documentation,80.23
PRJ119,Client Meeting,19.77
PRJ118,Client Meeting,39.10
PRJ118,Code Review,60.90
PRJ144,Bug Fix,63.85
PRJ144,Documentation,27.86
PRJ144,Deployment,8.29
PRJ143,Training,35.85
PRJ143,Documentation,4.33
PRJ143,Development,22.14
PRJ143,Deployment,24.48
PRJ143,Testing,13.20
PRJ146,Training,100.00
PRJ145,Monitoring,100.00
PRJ148,Training,18.15
PRJ148,Bug Fix,18.00
PRJ148,Documentation,24.31
PRJ148,Code Review,39.54
PRJ147,Development,25.25
PRJ147,Client Meeting,45.60
PRJ147,Code Review,10.02
PRJ147,Testing,19.13
PRJ149,Development,22.55
PRJ149,Client Meeting,77.45
PRJ140,Documentation,58.83
PRJ140,Deployment,28.06
PRJ140,Client Meeting,13.11
PRJ142,Deployment,49.95
PRJ142,Testing,50.05
PRJ141,Training,45.42
PRJ141,Deployment,20.59
PRJ141,Testing,33.99
PRJ133,Code Review,62.72
PRJ133,Design Review,37.28
PRJ132,Bug Fix,42.80
PRJ132,Testing,57.20
PRJ135,Bug Fix,35.30
PRJ135,Development,7.25
PRJ135,Client Meeting,17.83
PRJ135,Code Review,18.22
PRJ135,Monitoring,21.40
PRJ134,Bug Fix,5.67
PRJ134,Documentation,25.94
PRJ134,Deployment,34.13
PRJ134,Monitoring,34.25
PRJ137,Training,11.21
PRJ137,Client Meeting,3.46
PRJ137,Deployment,34.86
PRJ137,Code Review,14.86
PRJ137,Monitoring,17.37
PRJ137,Testing,18.25
PRJ136,Bug Fix,29.02
PRJ136,Documentation,11.42
PRJ136,Code Review,59.56
PRJ139,Documentation,52.33
PRJ139,Development,33.60
PRJ139,Design Review,14.07
PRJ138,Client Meeting,100.00
PRJ131,Training,42.66
PRJ131,Documentation,57.34
PRJ130,Training,63.79
PRJ130,Documentation,36.21
