Employee ID,Task Category,Percentage of Time
EMP0003,Development,2.00
EMP0003,Deployment,26.39
EMP0003,Client Meeting,29.78
EMP0003,Code Review,9.61
EMP0003,Design Review,7.67
EMP0003,Monitoring,7.51
EMP0014,Training,4.22
EMP0014,Documentation,19.30
EMP0014,Development,0.86
EMP0014,Deployment,12.23
EMP0014,Client Meeting,22.88
EMP0014,Code Review,14.40
EMP0014,Design Review,9.50
EMP0014,Monitoring,10.56
EMP0014,Testing,6.05
EMP0002,Bug Fix,27.61
EMP0002,Documentation,3.42
EMP0002,Client Meeting,13.14
EMP0002,Deployment,22.39
EMP0002,Code Review,20.96
EMP0002,Design Review,12.48
EMP0013,Bug Fix,9.08
EMP0013,Documentation,12.13
EMP0013,Development,3.68
EMP0013,Deployment,17.87
EMP0013,Client Meeting,35.03
EMP0013,Code Review,10.31
EMP0013,Design Review,11.90
EMP0024,Training,10.63
EMP0024,Bug Fix,3.30
EMP0024,Documentation,18.60
EMP0024,Development,17.30
EMP0024,Deployment,15.51
EMP0024,Code Review,8.07
EMP0024,Monitoring,8.10
EMP0024,Testing,18.48
EMP0005,Documentation,10.93
EMP0005,Development,11.73
EMP0005,Client Meeting,8.78
EMP0005,Deployment,9.79
EMP0005,Code Review,13.05
EMP0005,Design Review,20.50
EMP0005,Monitoring,7.61
EMP0005,Testing,17.61
EMP0016,Bug Fix,22.88
EMP0016,Documentation,11.98
EMP0016,Development,2.60
EMP0016,Deployment,19.41
EMP0016,Code Review,22.41
EMP0016,Monitoring,4.99
EMP0016,Design Review,15.73
EMP0015,Training,24.43
EMP0015,Bug Fix,2.60
EMP0015,Documentation,14.91
EMP0015,Development,10.46
EMP0015,Client Meeting,4.57
EMP0015,Deployment,11.78
EMP0015,Code Review,19.46
EMP0015,Design Review,10.60
EMP0015,Testing,1.19
EMP0004,Training,5.82
EMP0004,Bug Fix,16.55
EMP0004,Documentation,1.12
EMP0004,Development,27.79
EMP0004,Deployment,9.36
EMP0004,Client Meeting,4.26
EMP0004,Code Review,9.28
EMP0004,Design Review,5.81
EMP0004,Monitoring,6.43
EMP0004,Testing,13.58
EMP0007,Training,12.73
EMP0007,Documentation,6.23
EMP0007,Development,37.37
EMP0007,Client Meeting,15.51
EMP0007,Code Review,12.29
EMP0007,Monitoring,6.17
EMP0007,Design Review,8.67
EMP0007,Testing,1.03
EMP0018,Training,4.77
EMP0018,Bug Fix,5.70
EMP0018,Documentation,17.00
EMP0018,Development,1.85
EMP0018,Deployment,26.55
EMP0018,Client Meeting,7.87
EMP0018,Design Review,9.12
EMP0018,Monitoring,23.87
EMP0018,Testing,3.27
EMP0006,Training,27.16
EMP0006,Bug Fix,16.37
EMP0006,Development,4.10
EMP0006,Client Meeting,3.20
EMP0006,Code Review,14.23
EMP0006,Design Review,18.41
EMP0006,Testing,16.55
EMP0017,Training,10.08
EMP0017,Bug Fix,20.40
EMP0017,Documentation,3.95
EMP0017,Development,5.54
EMP0017,Client Meeting,15.31
EMP0017,Deployment,15.98
EMP0017,Code Review,8.15
EMP0017,Monitoring,2.84
EMP0017,Testing,17.75
