Tags Count:
Tag,Count
approved,43
blocked,38
critical,44
in progress,39
escalated,38
needs review,32
delayed,43
completed,47
urgent,36
follow up,40

Employee Work Summary:
EmployeeId,Min Hours,Max Hours,Average Hours
EMP0009,1.15,10.00,6.01
EMP0019,1.32,9.71,5.81
EMP0008,1.18,9.45,5.13
EMP0021,1.50,9.39,5.52
EMP0010,1.15,8.77,4.97
EMP0020,1.57,9.98,5.87
EMP0012,1.67,9.47,5.59
EMP0001,1.07,8.77,5.00
EMP0023,1.16,9.46,4.70
EMP0011,2.25,9.82,6.05
EMP0022,2.28,9.40,6.09
EMP0003,1.56,8.85,5.58
EMP0014,1.00,9.60,5.54
EMP0002,1.08,6.62,3.95
EMP0013,1.09,9.88,4.60
EMP0024,2.30,8.77,6.51
EMP0005,1.43,8.98,4.59
EMP0016,1.63,9.67,5.38
EMP0015,1.00,9.08,4.73
EMP0004,1.06,9.64,5.17
EMP0007,1.02,9.43,6.58
EMP0018,1.11,9.67,4.55
EMP0006,1.05,9.88,3.85
EMP0017,1.02,9.05,4.76

Category % Contribution per Project:
Project,Category,Percentage
PRJ183,Development,15.45
PRJ183,Deployment,10.21
PRJ183,Client Meeting,32.52
PRJ183,Code Review,11.38
PRJ183,Monitoring,20.48
PRJ186,Client Meeting,100.00
PRJ185,Deployment,8.48
PRJ185,Code Review,58.32
PRJ185,Monitoring,33.20
PRJ108,Training,26.57
PRJ108,Code Review,36.22
PRJ108,Design Review,15.92
PRJ108,Monitoring,10.52
PRJ108,Testing,10.76
PRJ107,Development,53.40
PRJ107,Client Meeting,39.80
PRJ107,Design Review,6.80
PRJ109,Documentation,22.55
PRJ109,Monitoring,65.05
PRJ109,Testing,12.40
PRJ177,Client Meeting,62.30
PRJ177,Monitoring,37.70
PRJ176,Bug Fix,28.81
PRJ176,Documentation,28.94
PRJ176,Development,8.05
PRJ176,Client Meeting,34.20
PRJ179,Bug Fix,22.15
PRJ179,Documentation,10.21
PRJ179,Development,11.99
PRJ179,Deployment,26.47
PRJ179,Design Review,29.18
PRJ178,Training,45.28
PRJ178,Deployment,54.72
PRJ171,Documentation,24.71
PRJ171,Client Meeting,49.91
PRJ171,Code Review,25.39
PRJ170,Training,43.97
PRJ170,Documentation,56.03
PRJ173,Documentation,77.25
PRJ173,Code Review,22.75
PRJ172,Code Review,100.00
PRJ175,Training,11.00
PRJ175,Development,19.02
PRJ175,Deployment,28.05
PRJ175,Code Review,41.93
PRJ174,Testing,100.00
PRJ122,Client Meeting,30.78
PRJ122,Deployment,49.17
PRJ122,Testing,20.05
PRJ121,Training,8.64
PRJ121,Bug Fix,26.87
PRJ121,Deployment,12.06
PRJ121,Client Meeting,17.10
PRJ121,Monitoring,35.33
PRJ124,Training,43.17
PRJ124,Deployment,43.22
PRJ124,Design Review,13.61
PRJ123,Development,55.31
PRJ123,Client Meeting,24.34
PRJ123,Monitoring,20.35
PRJ126,Bug Fix,54.96
PRJ126,Development,32.87
PRJ126,Deployment,12.17
PRJ125,Development,28.25
PRJ125,Deployment,31.64
PRJ125,Code Review,35.31
PRJ125,Testing,4.80
PRJ128,Deployment,86.71
PRJ128,Design Review,13.29
PRJ127,Training,100.00
PRJ120,Development,44.41
PRJ120,Deployment,55.59
PRJ129,Training,23.23
PRJ129,Bug Fix,18.29
PRJ129,Code Review,58.48
PRJ199,Deployment,29.15
PRJ199,Code Review,60.38
PRJ199,Design Review,10.47
PRJ111,Client Meeting,35.90
PRJ111,Monitoring,12.78
PRJ111,Design Review,38.07
PRJ111,Testing,13.26
PRJ198,Code Review,100.00
PRJ110,Bug Fix,14.05
PRJ110,Development,53.33
PRJ110,Design Review,32.62
PRJ113,Documentation,16.43
PRJ113,Code Review,22.00
PRJ113,Testing,61.56
PRJ112,Bug Fix,43.30
PRJ112,Documentation,9.00
PRJ112,Deployment,16.38
PRJ112,Client Meeting,17.27
PRJ112,Testing,14.05
PRJ115,Documentation,9.77
PRJ115,Deployment,19.19
PRJ115,Client Meeting,35.66
PRJ115,Code Review,22.53
PRJ115,Testing,12.85
PRJ114,Training,33.75
PRJ114,Documentation,3.20
PRJ114,Development,19.84
PRJ114,Code Review,33.44
PRJ114,Monitoring,9.76
PRJ117,Documentation,3.10
PRJ117,Client Meeting,28.14
PRJ117,Monitoring,33.84
PRJ117,Testing,34.92
PRJ116,Code Review,49.27
PRJ116,Monitoring,50.73
PRJ191,Client Meeting,5.16
PRJ191,Deployment,23.87
PRJ191,Code Review,19.47
PRJ191,Testing,51.50
PRJ190,Training,9.65
PRJ190,Bug Fix,13.62
PRJ190,Development,17.63
PRJ190,Deployment,18.90
PRJ190,Design Review,9.92
PRJ190,Monitoring,12.91
PRJ190,Testing,17.38
PRJ193,Bug Fix,3.83
PRJ193,Documentation,27.19
PRJ193,Development,29.32
PRJ193,Client Meeting,39.66
PRJ192,Documentation,36.47
PRJ192,Deployment,50.10
PRJ192,Testing,13.42
PRJ195,Training,10.04
PRJ195,Documentation,15.96
PRJ195,Development,11.41
PRJ195,Deployment,9.18
PRJ195,Code Review,19.42
PRJ195,Monitoring,33.98
PRJ194,Development,100.00
PRJ197,Documentation,23.42
PRJ197,Development,10.82
PRJ197,Deployment,47.71
PRJ197,Design Review,18.05
PRJ196,Bug Fix,22.54
PRJ196,Documentation,18.10
PRJ196,Development,2.65
PRJ196,Deployment,18.65
PRJ196,Code Review,18.05
PRJ196,Monitoring,20.01
PRJ119,Documentation,80.23
PRJ119,Client Meeting,19.77
PRJ118,Client Meeting,39.10
PRJ118,Code Review,60.90
PRJ144,Bug Fix,63.85
PRJ144,Documentation,27.86
PRJ144,Deployment,8.29
PRJ143,Training,35.85
PRJ143,Documentation,4.33
PRJ143,Development,22.14
PRJ143,Deployment,24.48
PRJ143,Testing,13.20
PRJ146,Training,100.00
PRJ145,Monitoring,100.00
PRJ148,Training,18.15
PRJ148,Bug Fix,18.00
PRJ148,Documentation,24.31
PRJ148,Code Review,39.54
PRJ147,Development,25.25
PRJ147,Client Meeting,45.60
PRJ147,Code Review,10.02
PRJ147,Testing,19.13
PRJ149,Development,22.55
PRJ149,Client Meeting,77.45
PRJ140,Documentation,58.83
PRJ140,Deployment,28.06
PRJ140,Client Meeting,13.11
PRJ142,Deployment,49.95
PRJ142,Testing,50.05
PRJ141,Training,45.42
PRJ141,Deployment,20.59
PRJ141,Testing,33.99
PRJ133,Code Review,62.72
PRJ133,Design Review,37.28
PRJ132,Bug Fix,42.80
PRJ132,Testing,57.20
PRJ135,Bug Fix,35.30
PRJ135,Development,7.25
PRJ135,Client Meeting,17.83
PRJ135,Code Review,18.22
PRJ135,Monitoring,21.40
PRJ134,Bug Fix,5.67
PRJ134,Documentation,25.94
PRJ134,Deployment,34.13
PRJ134,Monitoring,34.25
PRJ137,Training,11.21
PRJ137,Client Meeting,3.46
PRJ137,Deployment,34.86
PRJ137,Code Review,14.86
PRJ137,Monitoring,17.37
PRJ137,Testing,18.25
PRJ136,Bug Fix,29.02
PRJ136,Documentation,11.42
PRJ136,Code Review,59.56
PRJ139,Documentation,52.33
PRJ139,Development,33.60
PRJ139,Design Review,14.07
PRJ138,Client Meeting,100.00
PRJ131,Training,42.66
PRJ131,Documentation,57.34
PRJ130,Training,63.79
PRJ130,Documentation,36.21

Top 3 Tasks per Department:
Department,Date,Category,Hours
QA,2025-05-09,Training,9.88
QA,2025-04-26,Training,9.47
QA,2025-03-14,Training,9.46
Data Science,2025-06-06,Training,9.80
Data Science,2025-05-22,Deployment,9.67
Data Science,2025-04-03,Code Review,8.94
Design,2025-03-28,Documentation,9.84
Design,2025-05-08,Design Review,9.82
Design,2025-06-06,Development,8.79
Engineering,2025-04-21,Development,9.66
Engineering,2025-04-30,Code Review,9.13
Engineering,2025-05-26,Deployment,9.05
Product Management,2025-03-20,Bug Fix,9.98
Product Management,2025-04-25,Monitoring,9.35
Product Management,2025-05-03,Bug Fix,9.25
DevOps,2025-04-20,Training,10.00
DevOps,2025-04-09,Client Meeting,9.45
DevOps,2025-05-14,Client Meeting,9.41
Support,2025-03-19,Training,9.71
Support,2025-03-25,Documentation,9.67
Support,2025-04-06,Development,9.64
Finance,2025-03-18,Client Meeting,9.88
Finance,2025-06-05,Development,9.43
Finance,2025-03-10,Training,9.40
HR,2025-04-27,Client Meeting,8.93
HR,2025-03-13,Documentation,8.60
HR,2025-05-15,Code Review,8.58
IT,2025-05-01,Documentation,9.71
IT,2025-05-25,Code Review,9.60
IT,2025-05-30,Testing,9.15

Urgent / Critical Remarks:
Name,Date,Remarks
Abhinav,2025-05-08,critical
Abhinav,2025-05-20,critical
Abhinav,2025-05-11,critical
Abhinav,2025-03-25,critical
Anand,2025-03-27,urgent
Anand,2025-04-08,urgent
Bala sathvik,2025-05-06,urgent
Bhanu prakash,2025-03-24,critical
Bhanu prakash,2025-05-24,critical
Bhanu prakash,2025-04-08,critical
Bhanu prakash,2025-05-23,critical
Bhanu prakash,2025-04-07,urgent
Bhanu prakash,2025-04-06,critical
Bhanu prakash,2025-03-20,critical
Chaitanya,2025-05-17,critical
Chaitanya,2025-03-18,critical
Chaitanya,2025-05-03,urgent
Chaitanya,2025-05-16,urgent
Chaitanya,2025-04-27,urgent
Chaitanya,2025-03-09,urgent
Madhav,2025-05-05,urgent
Madhav,2025-05-16,urgent
Madhav,2025-06-01,urgent
Maneesh,2025-04-25,critical
Maneesh,2025-03-22,critical
Manoj,2025-03-30,urgent
Manoj,2025-06-06,urgent
Manoj,2025-04-02,critical
Manoj,2025-05-31,urgent
Manoj,2025-04-27,critical
Naga bhushan,2025-04-07,critical
Naga bhushan,2025-03-24,critical
Naga bhushan,2025-05-20,critical
Naga bhushan,2025-04-10,critical
Niranjan,2025-04-11,urgent
Niranjan,2025-05-05,critical
Niranjan,2025-05-25,critical
Niranjan,2025-04-05,urgent
Rachith,2025-04-15,critical
Rachith,2025-03-09,urgent
Rachith,2025-04-26,critical
Ram,2025-04-27,critical
Ram,2025-03-12,critical
Ram,2025-05-15,critical
Ram,2025-06-01,critical
Ram,2025-04-25,critical
Ram,2025-04-24,urgent
Ram sai,2025-03-30,critical
Ram sai,2025-03-22,urgent
Ram sai,2025-05-05,urgent
Renaiah,2025-05-31,critical
Renaiah,2025-05-11,critical
Rishi,2025-05-26,urgent
Rishi,2025-03-28,urgent
Rishi,2025-04-11,urgent
Rishi,2025-05-21,critical
Rishi,2025-05-02,urgent
Sai krishna,2025-05-16,critical
Sai krishna,2025-05-02,critical
Sai krishna,2025-05-06,critical
Saketh,2025-05-27,critical
Sameer,2025-05-23,urgent
Sameer,2025-05-26,critical
Sameer,2025-06-04,critical
Sameer,2025-05-13,urgent
Sri sai,2025-06-01,urgent
Sri sai,2025-03-17,urgent
Sri sai,2025-05-15,critical
Surya,2025-04-11,urgent
Uday,2025-03-25,critical
Uday,2025-03-14,critical
Uday,2025-05-01,urgent
Uday,2025-04-06,critical
Uday,2025-04-18,urgent
Uday,2025-05-14,urgent
Vara prasad,2025-05-08,critical
Vara prasad,2025-05-04,urgent
Vara prasad,2025-04-15,urgent
Vara prasad,2025-04-14,urgent
durga prasad,2025-04-25,urgent
