Department,ProjectId,Date,EmployeeId,TaskCategory,HoursWorked
Engineering,P109,2025-07-16,E003,CustomerSupport,3.9
Engineering,P109,2025-07-19,E012,ClientMeeting,8.2
Engineering,P109,2025-07-27,E009,CustomerSupport,6.1
Engineering,P109,2025-07-30,E020,Design,5.4
Engineering,P110,2025-07-03,E010,Documentation,8.0
Engineering,P110,2025-07-06,E018,Campaign,3.3
Engineering,P110,2025-07-12,E005,Testing,8.2
Engineering,P110,2025-07-15,E017,CustomerSupport,4.4
Engineering,P110,2025-07-16,E020,CustomerSupport,6.8
Engineering,P110,2025-07-16,E013,Training,7.7
Engineering,P110,2025-07-19,E003,ClientMeeting,5.4
Engineering,P110,2025-07-24,E011,Testing,6.5
Engineering,P110,2025-07-27,E007,Testing,6.9
Engineering,P110,2025-07-30,E020,Testing,5.1
Engineering,P111,2025-07-01,E007,CustomerSupport,3.7
Engineering,P111,2025-07-01,E012,Research,7.4
Engineering,P111,2025-07-01,E013,Design,4.7
Engineering,P111,2025-07-02,E003,Campaign,5.8
Engineering,P111,2025-07-04,E007,Development,5.0
Engineering,P111,2025-07-11,E009,Documentation,5.9
Engineering,P111,2025-07-26,E011,Documentation,8.3
Engineering,P111,2025-07-27,E012,Campaign,3.7
Engineering,P111,2025-07-27,E007,ClientMeeting,3.3
Engineering,P111,2025-07-29,E006,Research,8.3
Engineering,P111,2025-07-30,E010,Design,6.6
Engineering,P112,2025-07-04,E014,Development,6.1
Engineering,P112,2025-07-05,E004,Development,3.8
Engineering,P112,2025-07-10,E015,CustomerSupport,4.1
Engineering,P112,2025-07-11,E013,Documentation,5.6
Engineering,P112,2025-07-12,E020,Campaign,7.3
Engineering,P112,2025-07-12,E013,ClientMeeting,4.3
Engineering,P112,2025-07-16,E004,Documentation,7.1
Engineering,P112,2025-07-17,E016,Research,8.3
Engineering,P112,2025-07-18,E005,Documentation,3.2
Engineering,P112,2025-07-22,E016,CustomerSupport,7.0
Engineering,P112,2025-07-24,E005,Testing,6.6
Engineering,P113,2025-07-01,E017,Campaign,3.6
Engineering,P113,2025-07-02,E008,Documentation,3.8
Engineering,P113,2025-07-02,E003,Research,3.5
Engineering,P113,2025-07-02,E005,CustomerSupport,3.7
Engineering,P113,2025-07-03,E006,Development,7.4
Engineering,P113,2025-07-04,E010,ClientMeeting,6.4
Engineering,P113,2025-07-05,E004,Documentation,4.4
Engineering,P113,2025-07-07,E019,Research,6.8
Engineering,P113,2025-07-11,E006,Testing,5.0
Engineering,P113,2025-07-12,E004,Testing,5.6
Engineering,P113,2025-07-16,E012,Testing,4.0
Engineering,P113,2025-07-16,E010,Campaign,3.6
Engineering,P113,2025-07-23,E018,CustomerSupport,3.2
Engineering,P113,2025-07-24,E018,ClientMeeting,8.3
Engineering,P113,2025-07-24,E004,CustomerSupport,4.3
Engineering,P113,2025-07-24,E017,ClientMeeting,4.1
Engineering,P114,2025-07-02,E013,Development,4.4
Engineering,P114,2025-07-02,E002,Research,7.7
Engineering,P114,2025-07-05,E016,Campaign,3.9
Engineering,P114,2025-07-08,E007,Campaign,8.0
Engineering,P114,2025-07-13,E015,ClientMeeting,7.7
Engineering,P114,2025-07-16,E020,Documentation,3.7
Engineering,P114,2025-07-21,E011,Development,7.9
Engineering,P114,2025-07-21,E013,ClientMeeting,8.1
Engineering,P114,2025-07-22,E004,Training,3.4
Engineering,P114,2025-07-26,E020,Research,8.0
Engineering,P115,2025-07-02,E016,Design,6.9
Engineering,P115,2025-07-05,E011,CustomerSupport,4.4
Engineering,P115,2025-07-06,E005,Design,4.3
Engineering,P115,2025-07-09,E020,CustomerSupport,5.3
Engineering,P115,2025-07-10,E020,Training,6.5
Engineering,P115,2025-07-19,E005,ClientMeeting,7.8
Engineering,P115,2025-07-20,E018,Research,7.5
Engineering,P115,2025-07-24,E011,Research,4.1
Engineering,P115,2025-07-25,E002,CustomerSupport,5.1
Engineering,P115,2025-07-25,E007,CustomerSupport,8.4
Engineering,P115,2025-07-28,E019,Testing,8.1
Engineering,P115,2025-07-28,E006,Documentation,8.1
Engineering,P115,2025-07-30,E012,ClientMeeting,5.6
Engineering,P116,2025-07-02,E004,Development,7.6
Engineering,P116,2025-07-05,E014,Training,3.5
Engineering,P116,2025-07-08,E009,CustomerSupport,3.8
Engineering,P116,2025-07-09,E008,Research,6.2
Engineering,P116,2025-07-11,E002,ClientMeeting,7.1
Engineering,P116,2025-07-12,E002,Training,7.7
Engineering,P116,2025-07-14,E008,Training,3.7
Engineering,P116,2025-07-18,E017,Campaign,7.4
Engineering,P116,2025-07-18,E007,Campaign,3.7
Engineering,P116,2025-07-25,E014,ClientMeeting,6.7
Engineering,P116,2025-07-26,E009,CustomerSupport,3.1
Engineering,P116,2025-07-28,E013,Development,7.9
Engineering,P116,2025-07-30,E013,ClientMeeting,8.8
Engineering,P117,2025-07-04,E007,Design,4.5
Engineering,P117,2025-07-08,E018,ClientMeeting,8.2
Engineering,P117,2025-07-09,E016,CustomerSupport,8.2
Engineering,P117,2025-07-14,E016,ClientMeeting,7.0
Engineering,P117,2025-07-16,E017,Documentation,3.3
Engineering,P117,2025-07-16,E019,CustomerSupport,4.6
Engineering,P117,2025-07-18,E002,Training,6.0
Engineering,P117,2025-07-19,E001,Design,6.2
Engineering,P117,2025-07-23,E015,Campaign,5.8
Engineering,P117,2025-07-27,E011,Training,4.5
Engineering,P118,2025-07-05,E011,ClientMeeting,5.3
Engineering,P118,2025-07-07,E010,Training,8.0
Engineering,P118,2025-07-08,E006,ClientMeeting,6.5
Engineering,P118,2025-07-09,E016,Development,5.5
Engineering,P118,2025-07-10,E013,Campaign,7.6
Engineering,P118,2025-07-14,E008,Documentation,8.5
Engineering,P118,2025-07-15,E004,Research,7.7
Engineering,P118,2025-07-15,E015,Campaign,5.2
Engineering,P118,2025-07-18,E014,ClientMeeting,3.4
Engineering,P118,2025-07-18,E007,Documentation,7.5
Engineering,P118,2025-07-19,E005,Campaign,3.4
Engineering,P118,2025-07-20,E004,CustomerSupport,7.4
Engineering,P118,2025-07-20,E015,Campaign,7.2
Engineering,P118,2025-07-21,E013,Testing,6.5
Engineering,P118,2025-07-22,E010,Research,7.9
Engineering,P118,2025-07-27,E016,Campaign,5.3
Engineering,P118,2025-07-29,E013,Documentation,5.6
Engineering,P119,2025-07-02,E013,Design,3.2
Engineering,P119,2025-07-04,E013,Design,4.8
Engineering,P119,2025-07-06,E008,CustomerSupport,3.8
Engineering,P119,2025-07-08,E002,Design,3.2
Engineering,P119,2025-07-08,E018,CustomerSupport,4.1
Engineering,P119,2025-07-09,E019,Campaign,3.9
Engineering,P119,2025-07-12,E005,ClientMeeting,7.9
Engineering,P119,2025-07-13,E010,Development,5.0
Engineering,P119,2025-07-18,E002,Research,8.5
Engineering,P119,2025-07-18,E019,ClientMeeting,5.4
Engineering,P119,2025-07-19,E003,Design,3.3
Engineering,P119,2025-07-21,E020,Documentation,6.8
Engineering,P119,2025-07-23,E006,Training,6.1
Engineering,P119,2025-07-24,E012,Documentation,3.4
Engineering,P119,2025-07-26,E016,Documentation,5.6
Engineering,P119,2025-07-27,E006,Research,4.7
Engineering,P119,2025-07-27,E001,Campaign,4.8
Engineering,P119,2025-07-28,E011,Campaign,3.2
Engineering,P119,2025-07-30,E006,Testing,7.0
Engineering,P119,2025-07-30,E007,Development,3.7
HR,P201,2025-07-05,E012,Design,8.2
HR,P201,2025-07-14,E016,ClientMeeting,4.9
HR,P202,2025-07-01,E003,Training,6.1
HR,P202,2025-07-05,E015,Documentation,8.5
HR,P202,2025-07-12,E015,Testing,7.8
HR,P202,2025-07-23,E007,Development,5.1
HR,P202,2025-07-28,E006,Research,8.2
HR,P203,2025-07-02,E009,CustomerSupport,4.7
HR,P203,2025-07-06,E016,Development,7.0
HR,P203,2025-07-27,E005,Development,3.3
HR,P203,2025-07-30,E003,ClientMeeting,6.9
HR,P204,2025-07-07,E003,Training,5.2
HR,P204,2025-07-20,E006,Development,4.1
HR,P205,2025-07-19,E012,Testing,5.2
HR,P206,2025-07-14,E020,Development,8.5
HR,P206,2025-07-17,E019,Development,8.5
HR,P207,2025-07-06,E005,Research,7.7
HR,P207,2025-07-21,E017,Training,8.8
HR,P207,2025-07-28,E004,Development,6.5
HR,P208,2025-07-01,E012,Documentation,8.0
HR,P208,2025-07-06,E001,Training,8.4
HR,P208,2025-07-06,E017,ClientMeeting,6.1
HR,P208,2025-07-27,E003,Campaign,8.0
HR,P210,2025-07-11,E009,Documentation,6.7
HR,P213,2025-07-14,E010,ClientMeeting,4.2
HR,P214,2025-07-14,E014,CustomerSupport,7.3
HR,P214,2025-07-14,E007,CustomerSupport,6.0
HR,P214,2025-07-17,E009,ClientMeeting,7.9
HR,P214,2025-07-21,E011,Documentation,7.9
HR,P215,2025-07-24,E006,Campaign,8.7
HR,P216,2025-07-26,E010,Design,3.3
HR,P216,2025-07-27,E009,Testing,4.2
HR,P217,2025-07-11,E018,Testing,8.9
HR,P217,2025-07-25,E012,Testing,6.3
HR,P218,2025-07-05,E008,Development,6.8
HR,P218,2025-07-12,E017,Campaign,4.0
HR,P218,2025-07-23,E005,Design,5.5
HR,P219,2025-07-01,E013,Training,4.9
HR,P219,2025-07-16,E006,CustomerSupport,7.5
HR,P220,2025-07-26,E018,Research,5.4
HR,P220,2025-07-27,E001,CustomerSupport,5.4
Marketing,P201,2025-07-06,E011,Design,5.0
Marketing,P201,2025-07-10,E012,CustomerSupport,5.1
Marketing,P201,2025-07-16,E017,ClientMeeting,6.8
Marketing,P201,2025-07-23,E015,CustomerSupport,3.6
Marketing,P201,2025-07-27,E017,Design,4.9
Marketing,P202,2025-07-01,E008,ClientMeeting,4.3
Marketing,P203,2025-07-03,E008,Design,5.1
Marketing,P203,2025-07-10,E004,Design,7.5
Marketing,P203,2025-07-17,E008,Documentation,7.1
Marketing,P203,2025-07-27,E012,Campaign,5.0
Marketing,P203,2025-07-27,E006,Documentation,6.9
Marketing,P203,2025-07-27,E008,Testing,7.2
Marketing,P203,2025-07-28,E004,ClientMeeting,4.6
Marketing,P203,2025-07-29,E013,Testing,8.5
Marketing,P204,2025-07-04,E019,Documentation,3.9
Marketing,P204,2025-07-10,E012,Documentation,5.1
Marketing,P204,2025-07-18,E017,CustomerSupport,3.8
Marketing,P204,2025-07-22,E005,Documentation,4.4
Marketing,P205,2025-07-22,E005,CustomerSupport,5.0
Marketing,P206,2025-07-03,E017,Design,5.5
Marketing,P206,2025-07-04,E007,CustomerSupport,8.0
Marketing,P206,2025-07-08,E019,Campaign,7.5
Marketing,P206,2025-07-13,E007,ClientMeeting,3.7
Marketing,P206,2025-07-13,E007,Research,4.0
Marketing,P206,2025-07-19,E020,Development,3.5
Marketing,P206,2025-07-21,E013,Documentation,7.7
Marketing,P207,2025-07-14,E011,Training,8.1
Marketing,P207,2025-07-14,E013,Design,6.9
Marketing,P208,2025-07-16,E005,CustomerSupport,7.8
Marketing,P208,2025-07-18,E018,CustomerSupport,7.0
Marketing,P208,2025-07-18,E007,Campaign,5.3
Marketing,P208,2025-07-19,E005,ClientMeeting,5.8
Marketing,P208,2025-07-19,E009,Testing,5.1
Marketing,P208,2025-07-27,E017,Testing,8.2
Marketing,P208,2025-07-28,E019,Development,5.8
Marketing,P209,2025-07-05,E001,Documentation,8.9
Marketing,P209,2025-07-16,E013,Research,6.9
Marketing,P209,2025-07-18,E015,Training,3.7
Marketing,P209,2025-07-22,E013,ClientMeeting,8.5
Marketing,P209,2025-07-25,E002,Development,5.2
Marketing,P209,2025-07-29,E016,Training,7.4
Marketing,P210,2025-07-17,E019,Training,8.0
Marketing,P210,2025-07-21,E012,Training,8.8
Marketing,P211,2025-07-02,E013,Documentation,8.6
Marketing,P211,2025-07-07,E007,Development,3.5
Marketing,P212,2025-07-08,E018,CustomerSupport,8.7
Marketing,P212,2025-07-14,E019,ClientMeeting,5.4
Marketing,P213,2025-07-07,E014,ClientMeeting,6.1
Marketing,P213,2025-07-15,E014,Documentation,6.9
Marketing,P214,2025-07-01,E010,Development,3.9
Marketing,P214,2025-07-13,E016,Documentation,8.7
Marketing,P214,2025-07-17,E013,Development,6.6
Marketing,P214,2025-07-22,E010,Testing,6.0
Marketing,P215,2025-07-06,E002,Training,7.7
Marketing,P215,2025-07-08,E010,Training,5.2
Marketing,P216,2025-07-10,E004,Testing,5.9
Marketing,P216,2025-07-13,E002,Documentation,6.2
Marketing,P216,2025-07-30,E003,CustomerSupport,8.7
Marketing,P217,2025-07-08,E014,ClientMeeting,6.1
Marketing,P217,2025-07-18,E015,Testing,4.6
Marketing,P217,2025-07-19,E003,Design,6.2
Marketing,P219,2025-07-03,E005,Testing,3.4
Marketing,P219,2025-07-20,E020,Development,4.2
Marketing,P220,2025-07-06,E010,Research,7.9
Marketing,P220,2025-07-10,E005,Testing,3.3
Sales,P201,2025-07-01,E016,Design,7.4
Sales,P201,2025-07-02,E011,ClientMeeting,7.3
Sales,P201,2025-07-13,E010,Research,4.9
Sales,P203,2025-07-06,E014,Documentation,4.0
Sales,P203,2025-07-27,E008,Research,7.9
Sales,P204,2025-07-27,E004,Documentation,4.5
Sales,P204,2025-07-28,E018,Training,5.1
Sales,P205,2025-07-14,E008,Documentation,8.4
Sales,P205,2025-07-15,E014,Documentation,8.7
Sales,P205,2025-07-19,E018,Design,7.7
Sales,P205,2025-07-20,E013,Training,3.2
Sales,P206,2025-07-26,E010,CustomerSupport,6.8
Sales,P207,2025-07-25,E001,Training,6.1
Sales,P208,2025-07-27,E015,ClientMeeting,5.7
Sales,P209,2025-07-06,E002,ClientMeeting,3.1
Sales,P209,2025-07-07,E012,Design,5.7
Sales,P209,2025-07-11,E001,Campaign,6.2
Sales,P209,2025-07-19,E018,Campaign,7.6
Sales,P210,2025-07-20,E019,Training,7.4
Sales,P210,2025-07-28,E019,Development,4.1
Sales,P211,2025-07-11,E013,Training,7.2
Sales,P211,2025-07-26,E015,Development,5.4
Sales,P211,2025-07-27,E015,Research,7.3
Sales,P212,2025-07-09,E017,Training,8.1
Sales,P212,2025-07-13,E001,Design,6.3
Sales,P212,2025-07-15,E012,Design,7.3
Sales,P212,2025-07-16,E009,Research,4.0
Sales,P214,2025-07-15,E002,Documentation,4.9
Sales,P216,2025-07-02,E018,Training,6.2
Sales,P216,2025-07-21,E010,Development,6.4
Sales,P216,2025-07-22,E014,Training,5.8
Sales,P216,2025-07-29,E010,Design,4.5
Sales,P217,2025-07-29,E017,Training,5.1
Sales,P218,2025-07-10,E019,CustomerSupport,8.3
Sales,P218,2025-07-13,E002,Development,7.8
Sales,P218,2025-07-15,E015,ClientMeeting,5.4
Sales,P219,2025-07-04,E008,Design,5.0
Sales,P219,2025-07-18,E005,CustomerSupport,4.1
Sales,P219,2025-07-27,E017,Design,5.9
Sales,P219,2025-07-30,E016,Testing,3.5
Sales,P219,2025-07-30,E016,ClientMeeting,5.8
Sales,P220,2025-07-10,E017,Testing,3.2
Sales,P220,2025-07-12,E012,Documentation,4.8
Sales,P220,2025-07-16,E003,Testing,4.7
Sales,P220,2025-07-20,E008,Documentation,8.0
Support,P201,2025-07-03,E008,CustomerSupport,7.5
Support,P201,2025-07-13,E014,Research,7.5
Support,P201,2025-07-16,E013,CustomerSupport,4.0
Support,P201,2025-07-30,E016,Research,7.3
Support,P202,2025-07-06,E018,CustomerSupport,7.8
Support,P202,2025-07-09,E013,Research,6.2
Support,P202,2025-07-11,E016,Campaign,7.6
Support,P202,2025-07-19,E017,Development,4.2
Support,P202,2025-07-20,E008,ClientMeeting,7.5
Support,P203,2025-07-02,E007,ClientMeeting,8.8
Support,P203,2025-07-10,E004,ClientMeeting,3.5
Support,P203,2025-07-13,E004,Training,7.9
Support,P203,2025-07-17,E012,Documentation,5.9
Support,P203,2025-07-18,E019,ClientMeeting,8.4
Support,P203,2025-07-18,E008,Campaign,8.9
Support,P203,2025-07-27,E017,CustomerSupport,4.1
Support,P204,2025-07-02,E007,Training,8.1
Support,P204,2025-07-02,E008,Development,3.8
Support,P204,2025-07-03,E009,Campaign,5.0
Support,P204,2025-07-07,E016,CustomerSupport,4.8
Support,P204,2025-07-12,E007,Testing,5.1
Support,P204,2025-07-22,E005,ClientMeeting,4.1
Support,P204,2025-07-25,E019,ClientMeeting,8.6
Support,P204,2025-07-27,E008,Development,4.1
Support,P205,2025-07-08,E019,Training,8.0
Support,P205,2025-07-12,E009,Development,5.0
Support,P205,2025-07-23,E013,Campaign,4.0
Support,P205,2025-07-30,E003,Research,8.4
Support,P205,2025-07-30,E002,Design,6.6
Support,P206,2025-07-01,E010,Research,5.9
Support,P206,2025-07-09,E014,Training,7.3
Support,P206,2025-07-22,E014,Documentation,7.3
Support,P207,2025-07-01,E012,Campaign,5.6
Support,P207,2025-07-13,E007,Development,3.1
Support,P207,2025-07-16,E001,Design,3.2
Support,P207,2025-07-17,E005,Development,5.1
Support,P207,2025-07-18,E007,Research,7.9
Support,P207,2025-07-18,E004,Development,8.7
Support,P207,2025-07-30,E020,Development,7.8
Support,P208,2025-07-16,E006,Development,5.3
Support,P208,2025-07-19,E002,Development,3.7
Support,P209,2025-07-03,E013,ClientMeeting,6.1
Support,P209,2025-07-09,E020,Design,8.1
Support,P209,2025-07-13,E015,Campaign,5.5
Support,P209,2025-07-14,E010,ClientMeeting,4.1
Support,P209,2025-07-14,E002,ClientMeeting,4.5
Support,P209,2025-07-18,E011,Training,8.7
Support,P209,2025-07-20,E012,Development,5.0
Support,P209,2025-07-22,E004,Research,6.1
Support,P209,2025-07-23,E008,Design,4.7
Support,P209,2025-07-26,E010,Research,7.6
Support,P210,2025-07-04,E005,Campaign,8.8
Support,P210,2025-07-08,E006,Research,8.1
Support,P210,2025-07-08,E008,Training,6.0
Support,P210,2025-07-13,E008,ClientMeeting,6.0
Support,P210,2025-07-14,E014,Documentation,5.6
Support,P210,2025-07-20,E011,Campaign,7.7
Support,P211,2025-07-04,E001,CustomerSupport,3.3
Support,P211,2025-07-10,E009,Documentation,5.4
Support,P211,2025-07-11,E017,Research,8.0
Support,P211,2025-07-15,E020,Campaign,4.0
Support,P211,2025-07-24,E003,Campaign,6.2
Support,P211,2025-07-24,E014,Documentation,7.6
Support,P212,2025-07-03,E009,Design,3.8
Support,P212,2025-07-06,E012,Development,6.0
Support,P212,2025-07-17,E019,ClientMeeting,6.5
Support,P212,2025-07-22,E010,ClientMeeting,4.8
Support,P213,2025-07-08,E020,Development,6.4
Support,P213,2025-07-26,E007,Documentation,4.2
Support,P213,2025-07-26,E009,Documentation,6.7
Support,P213,2025-07-30,E006,CustomerSupport,3.1
Support,P214,2025-07-01,E004,Campaign,3.4
Support,P214,2025-07-12,E014,CustomerSupport,5.2
Support,P214,2025-07-14,E007,Campaign,4.2
Support,P214,2025-07-15,E002,Research,7.9
Support,P214,2025-07-23,E011,Testing,9.0
Support,P215,2025-07-16,E020,CustomerSupport,7.5
Support,P215,2025-07-20,E003,Campaign,5.6
Support,P215,2025-07-23,E003,Testing,5.2
Support,P215,2025-07-27,E019,Documentation,4.9
Support,P216,2025-07-18,E010,CustomerSupport,5.7
Support,P216,2025-07-20,E008,CustomerSupport,7.7
Support,P216,2025-07-21,E006,ClientMeeting,5.0
Support,P216,2025-07-25,E015,Research,4.2
Support,P216,2025-07-26,E005,Training,3.3
Support,P217,2025-07-12,E003,Training,7.5
Support,P217,2025-07-22,E014,Development,4.6
Support,P218,2025-07-02,E020,CustomerSupport,6.1
Support,P218,2025-07-05,E012,Design,5.1
Support,P218,2025-07-05,E013,Research,4.7
Support,P218,2025-07-11,E009,Research,7.9
Support,P218,2025-07-13,E015,Development,3.9
Support,P218,2025-07-14,E007,CustomerSupport,5.5
Support,P218,2025-07-15,E011,Development,3.5
Support,P218,2025-07-21,E018,Design,4.1
Support,P218,2025-07-22,E001,Documentation,7.7
Support,P219,2025-07-01,E006,ClientMeeting,4.9
Support,P219,2025-07-03,E003,Campaign,5.9
Support,P219,2025-07-08,E004,ClientMeeting,4.5
Support,P219,2025-07-20,E005,Research,7.4
Support,P219,2025-07-28,E013,Campaign,7.5
Support,P220,2025-07-10,E012,Design,7.2
